symbol	ensembl_gene_id	name	hgnc_id
ABCE1	ENSG00000164163.11	ATP binding cassette subfamily E member 1	HGNC:69
ABCF1	ENSG00000204574.14	ATP binding cassette subfamily F member 1	HGNC:70
ABCF2	ENSG00000033050.9	ATP binding cassette subfamily F member 2	HGNC:71
ABCF2-H2BE1	ENSG00000285292.1	ABCF2-H2BE1 readthrough	HGNC:54751
ABCF3	ENSG00000161204.12	ATP binding cassette subfamily F member 3	HGNC:72
ABCG1	ENSG00000160179.19	ATP binding cassette subfamily G member 1	HGNC:73
ABCG2	ENSG00000118777.12	ATP binding cassette subfamily G member 2 (Junior blood group)	HGNC:74
ABCG4	ENSG00000172350.10	ATP binding cassette subfamily G member 4	HGNC:13884
ABCG5	ENSG00000138075.14	ATP binding cassette subfamily G member 5	HGNC:13886
ABCG8	ENSG00000143921.9	ATP binding cassette subfamily G member 8	HGNC:13887
ABHD1	ENSG00000143994.14	abhydrolase domain containing 1	HGNC:17553
ABHD10	ENSG00000144827.9	abhydrolase domain containing 10, depalmitoylase	HGNC:25656
ABHD11	ENSG00000106077.19	abhydrolase domain containing 11	HGNC:16407
ABHD12	ENSG00000100997.20	abhydrolase domain containing 12, lysophospholipase	HGNC:15868
ABHD12B	ENSG00000131969.15	abhydrolase domain containing 12B	HGNC:19837
ABHD13	ENSG00000139826.6	abhydrolase domain containing 13	HGNC:20293
ABHD14A	ENSG00000248487.10	abhydrolase domain containing 14A	HGNC:24538
ABHD14A-ACY1	ENSG00000114786.16	ABHD14A-ACY1 readthrough	HGNC:38856
ABHD14B	ENSG00000114779.20	abhydrolase domain containing 14B	HGNC:28235
ABHD15	ENSG00000168792.5	abhydrolase domain containing 15	HGNC:26971
ABHD16A	ENSG00000204427.12	abhydrolase domain containing 16A, phospholipase	HGNC:13921
ABHD16B	ENSG00000183260.7	abhydrolase domain containing 16B	HGNC:16128
ABHD17A	ENSG00000129968.17	abhydrolase domain containing 17A, depalmitoylase	HGNC:28756
ABHD17B	ENSG00000107362.14	abhydrolase domain containing 17B, depalmitoylase	HGNC:24278
ABHD17C	ENSG00000136379.12	abhydrolase domain containing 17C, depalmitoylase	HGNC:26925
ABHD18	ENSG00000164074.16	abhydrolase domain containing 18	HGNC:26111
ABHD2	ENSG00000140526.18	abhydrolase domain containing 2, acylglycerol lipase	HGNC:18717
ABHD3	ENSG00000158201.10	abhydrolase domain containing 3, phospholipase	HGNC:18718
ABHD4	ENSG00000100439.11	abhydrolase domain containing 4, N-acyl phospholipase B	HGNC:20154
ABHD5	ENSG00000011198.10	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	HGNC:21396
ABHD6	ENSG00000163686.15	abhydrolase domain containing 6, acylglycerol lipase	HGNC:21398
ABHD8	ENSG00000127220.6	abhydrolase domain containing 8	HGNC:23759
ABI1	ENSG00000136754.18	abl interactor 1	HGNC:11320
ABI2	ENSG00000138443.17	abl interactor 2	HGNC:24011
ABI3	ENSG00000108798.9	ABI family member 3	HGNC:29859
ABI3BP	ENSG00000154175.18	ABI family member 3 binding protein	HGNC:17265
ABITRAM	ENSG00000119328.12	actin binding transcription modulator	HGNC:1364
ABL1	ENSG00000097007.19	ABL proto-oncogene 1, non-receptor tyrosine kinase	HGNC:76
ABL2	ENSG00000143322.21	ABL proto-oncogene 2, non-receptor tyrosine kinase	HGNC:77
ABLIM1	ENSG00000099204.21	actin binding LIM protein 1	HGNC:78
ABLIM2	ENSG00000163995.21	actin binding LIM protein family member 2	HGNC:19195
ABLIM3	ENSG00000173210.20	actin binding LIM protein family member 3	HGNC:29132
ABO	ENSG00000175164.16	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	HGNC:79
ABR	ENSG00000159842.16	ABR activator of RhoGEF and GTPase	HGNC:81
ABRA	ENSG00000174429.4	actin binding Rho activating protein	HGNC:30655
ABRACL	ENSG00000146386.8	ABRA C-terminal like	HGNC:21230
ABRAXAS1	ENSG00000163322.14	abraxas 1, BRCA1 A complex subunit	HGNC:25829
ABRAXAS2	ENSG00000165660.8	abraxas 2, BRISC complex subunit	HGNC:28975
ABT1	ENSG00000146109.5	activator of basal transcription 1	HGNC:17369
ABTB1	ENSG00000114626.18	ankyrin repeat and BTB domain containing 1	HGNC:18275
ABTB2	ENSG00000166016.6	ankyrin repeat and BTB domain containing 2	HGNC:23842
ACAA1	ENSG00000060971.19	acetyl-CoA acyltransferase 1	HGNC:82
ACAA2	ENSG00000167315.18	acetyl-CoA acyltransferase 2	HGNC:83
ACACA	ENSG00000278540.5	acetyl-CoA carboxylase alpha	HGNC:84
ACACB	ENSG00000076555.16	acetyl-CoA carboxylase beta	HGNC:85
ACAD10	ENSG00000111271.15	acyl-CoA dehydrogenase family member 10	HGNC:21597
ACAD11	ENSG00000240303.8	acyl-CoA dehydrogenase family member 11	HGNC:30211
ACAD8	ENSG00000151498.12	acyl-CoA dehydrogenase family member 8	HGNC:87
ACAD9	ENSG00000177646.20	acyl-CoA dehydrogenase family member 9	HGNC:21497
ACADL	ENSG00000115361.8	acyl-CoA dehydrogenase long chain	HGNC:88
ACADM	ENSG00000117054.15	acyl-CoA dehydrogenase medium chain	HGNC:89
ACADS	ENSG00000122971.9	acyl-CoA dehydrogenase short chain	HGNC:90
ACADSB	ENSG00000196177.13	acyl-CoA dehydrogenase short/branched chain	HGNC:91
ACADVL	ENSG00000072778.20	acyl-CoA dehydrogenase very long chain	HGNC:92
ACAN	ENSG00000157766.19	aggrecan	HGNC:319
ACAP1	ENSG00000072818.12	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	HGNC:16467
ACAP2	ENSG00000114331.16	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	HGNC:16469
ACAP3	ENSG00000131584.19	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	HGNC:16754
ACAT1	ENSG00000075239.14	acetyl-CoA acetyltransferase 1	HGNC:93
ACAT2	ENSG00000120437.9	acetyl-CoA acetyltransferase 2	HGNC:94
ACBD3	ENSG00000182827.9	acyl-CoA binding domain containing 3	HGNC:15453
ACBD4	ENSG00000181513.15	acyl-CoA binding domain containing 4	HGNC:23337
ACBD5	ENSG00000107897.20	acyl-CoA binding domain containing 5	HGNC:23338
ACBD6	ENSG00000230124.8	acyl-CoA binding domain containing 6	HGNC:23339
ACBD7	ENSG00000176244.7	acyl-CoA binding domain containing 7	HGNC:17715
ACCS	ENSG00000110455.14	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	HGNC:23989
ACCSL	ENSG00000205126.2	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	HGNC:34391
ACD	ENSG00000102977.17	ACD shelterin complex subunit and telomerase recruitment factor	HGNC:25070
ACE	ENSG00000159640.17	angiotensin I converting enzyme	HGNC:2707
ACE2	ENSG00000130234.13	angiotensin converting enzyme 2	HGNC:13557
ACER1	ENSG00000167769.5	alkaline ceramidase 1	HGNC:18356
ACER2	ENSG00000177076.6	alkaline ceramidase 2	HGNC:23675
ACER3	ENSG00000078124.13	alkaline ceramidase 3	HGNC:16066
ACHE	ENSG00000087085.16	acetylcholinesterase (Cartwright blood group)	HGNC:108
ACIN1	ENSG00000100813.15	apoptotic chromatin condensation inducer 1	HGNC:17066
ACKR1	ENSG00000213088.12	atypical chemokine receptor 1 (Duffy blood group)	HGNC:4035
ACKR2	ENSG00000144648.16	atypical chemokine receptor 2	HGNC:1565
ACKR3	ENSG00000144476.6	atypical chemokine receptor 3	HGNC:23692
ACKR4	ENSG00000129048.7	atypical chemokine receptor 4	HGNC:1611
ACLY	ENSG00000131473.17	ATP citrate lyase	HGNC:115
ACMSD	ENSG00000153086.14	aminocarboxymuconate semialdehyde decarboxylase	HGNC:19288
ACO1	ENSG00000122729.19	aconitase 1	HGNC:117
ACO2	ENSG00000100412.17	aconitase 2	HGNC:118
ACOD1	ENSG00000102794.10	aconitate decarboxylase 1	HGNC:33904
ACOT1	ENSG00000184227.8	acyl-CoA thioesterase 1	HGNC:33128
ACOT11	ENSG00000162390.18	acyl-CoA thioesterase 11	HGNC:18156
ACOT12	ENSG00000172497.9	acyl-CoA thioesterase 12	HGNC:24436
ACOT13	ENSG00000112304.11	acyl-CoA thioesterase 13	HGNC:20999
ACOT2	ENSG00000119673.16	acyl-CoA thioesterase 2	HGNC:18431
ACOT4	ENSG00000177465.5	acyl-CoA thioesterase 4	HGNC:19748
ACOT6	ENSG00000205669.4	acyl-CoA thioesterase 6	HGNC:33159
ACOT7	ENSG00000097021.20	acyl-CoA thioesterase 7	HGNC:24157
ACOT8	ENSG00000101473.17	acyl-CoA thioesterase 8	HGNC:15919
ACOT9	ENSG00000123130.17	acyl-CoA thioesterase 9	HGNC:17152
ACOX1	ENSG00000161533.12	acyl-CoA oxidase 1	HGNC:119
ACOX2	ENSG00000168306.13	acyl-CoA oxidase 2	HGNC:120
ACOX3	ENSG00000087008.16	acyl-CoA oxidase 3, pristanoyl	HGNC:121
ACOXL	ENSG00000153093.20	acyl-CoA oxidase like	HGNC:25621
ACP1	ENSG00000143727.16	acid phosphatase 1	HGNC:122
ACP2	ENSG00000134575.13	acid phosphatase 2, lysosomal	HGNC:123
ACP3	ENSG00000014257.16	acid phosphatase 3	HGNC:125
ACP4	ENSG00000142513.6	acid phosphatase 4	HGNC:14376
ACP5	ENSG00000102575.13	acid phosphatase 5, tartrate resistant	HGNC:124
ACP6	ENSG00000162836.12	acid phosphatase 6, lysophosphatidic	HGNC:29609
ACP7	ENSG00000183760.11	acid phosphatase 7, tartrate resistant (putative)	HGNC:33781
ACR	ENSG00000100312.11	acrosin	HGNC:126
ACRBP	ENSG00000111644.8	acrosin binding protein	HGNC:17195
ACRV1	ENSG00000134940.14	acrosomal vesicle protein 1	HGNC:127
ACSBG1	ENSG00000103740.10	acyl-CoA synthetase bubblegum family member 1	HGNC:29567
ACSBG2	ENSG00000130377.14	acyl-CoA synthetase bubblegum family member 2	HGNC:24174
ACSF2	ENSG00000167107.13	acyl-CoA synthetase family member 2	HGNC:26101
ACSF3	ENSG00000176715.17	acyl-CoA synthetase family member 3	HGNC:27288
ACSL1	ENSG00000151726.15	acyl-CoA synthetase long chain family member 1	HGNC:3569
ACSL3	ENSG00000123983.15	acyl-CoA synthetase long chain family member 3	HGNC:3570
ACSL4	ENSG00000068366.21	acyl-CoA synthetase long chain family member 4	HGNC:3571
ACSL5	ENSG00000197142.11	acyl-CoA synthetase long chain family member 5	HGNC:16526
ACSL6	ENSG00000164398.15	acyl-CoA synthetase long chain family member 6	HGNC:16496
ACSM1	ENSG00000166743.10	acyl-CoA synthetase medium chain family member 1	HGNC:18049
ACSM2A	ENSG00000183747.12	acyl-CoA synthetase medium chain family member 2A	HGNC:32017
ACSM2B	ENSG00000066813.14	acyl-CoA synthetase medium chain family member 2B	HGNC:30931
ACSM3	ENSG00000005187.12	acyl-CoA synthetase medium chain family member 3	HGNC:10522
ACSM4	ENSG00000215009.6	acyl-CoA synthetase medium chain family member 4	HGNC:32016
ACSM5	ENSG00000183549.10	acyl-CoA synthetase medium chain family member 5	HGNC:26060
ACSM6	ENSG00000173124.14	acyl-CoA synthetase medium chain family member 6	HGNC:31665
ACSS1	ENSG00000154930.15	acyl-CoA synthetase short chain family member 1	HGNC:16091
ACSS2	ENSG00000131069.20	acyl-CoA synthetase short chain family member 2	HGNC:15814
ACSS3	ENSG00000111058.8	acyl-CoA synthetase short chain family member 3	HGNC:24723
ACTA1	ENSG00000143632.15	actin alpha 1, skeletal muscle	HGNC:129
ACTA2	ENSG00000107796.13	actin alpha 2, smooth muscle	HGNC:130
ACTB	ENSG00000075624.17	actin beta	HGNC:132
ACTBL2	ENSG00000169067.4	actin beta like 2	HGNC:17780
ACTC1	ENSG00000159251.8	actin alpha cardiac muscle 1	HGNC:143
ACTG1	ENSG00000184009.13	actin gamma 1	HGNC:144
ACTG2	ENSG00000163017.14	actin gamma 2, smooth muscle	HGNC:145
ACTL10	ENSG00000288649.2	actin like 10	HGNC:16127
ACTL6A	ENSG00000136518.17	actin like 6A	HGNC:24124
ACTL6B	ENSG00000077080.10	actin like 6B	HGNC:160
ACTL7A	ENSG00000187003.7	actin like 7A	HGNC:161
ACTL7B	ENSG00000148156.8	actin like 7B	HGNC:162
ACTL8	ENSG00000117148.8	actin like 8	HGNC:24018
ACTL9	ENSG00000181786.5	actin like 9	HGNC:28494
ACTN1	ENSG00000072110.16	actinin alpha 1	HGNC:163
ACTN2	ENSG00000077522.15	actinin alpha 2	HGNC:164
ACTN3	ENSG00000248746.6	actinin alpha 3	HGNC:165
ACTN4	ENSG00000130402.13	actinin alpha 4	HGNC:166
ACTR10	ENSG00000131966.14	actin related protein 10	HGNC:17372
ACTR1A	ENSG00000138107.13	actin related protein 1A	HGNC:167
ACTR1B	ENSG00000115073.8	actin related protein 1B	HGNC:168
ACTR2	ENSG00000138071.15	actin related protein 2	HGNC:169
ACTR3	ENSG00000115091.12	actin related protein 3	HGNC:170
ACTR3B	ENSG00000133627.18	actin related protein 3B	HGNC:17256
ACTR3C	ENSG00000106526.11	actin related protein 3C	HGNC:37282
ACTR5	ENSG00000101442.10	actin related protein 5	HGNC:14671
ACTR6	ENSG00000075089.10	actin related protein 6	HGNC:24025
ACTR8	ENSG00000113812.14	actin related protein 8	HGNC:14672
ACTRT1	ENSG00000123165.9	actin related protein T1	HGNC:24027
ACTRT2	ENSG00000169717.7	actin related protein T2	HGNC:24026
ACTRT3	ENSG00000184378.3	actin related protein T3	HGNC:24022
ACVR1	ENSG00000115170.16	activin A receptor type 1	HGNC:171
ACVR1B	ENSG00000135503.13	activin A receptor type 1B	HGNC:172
ACVR1C	ENSG00000123612.16	activin A receptor type 1C	HGNC:18123
ACVR2A	ENSG00000121989.15	activin A receptor type 2A	HGNC:173
ACVR2B	ENSG00000114739.14	activin A receptor type 2B	HGNC:174
ACVRL1	ENSG00000139567.13	activin A receptor like type 1	HGNC:175
ACY1	ENSG00000243989.9	aminoacylase 1	HGNC:177
ACY3	ENSG00000132744.8	aminoacylase 3	HGNC:24104
ACYP1	ENSG00000119640.9	acylphosphatase 1	HGNC:179
ACYP2	ENSG00000170634.13	acylphosphatase 2	HGNC:180
ADA	ENSG00000196839.13	adenosine deaminase	HGNC:186
ADA2	ENSG00000093072.18	adenosine deaminase 2	HGNC:1839
ADAD1	ENSG00000164113.11	adenosine deaminase domain containing 1	HGNC:30713
ADAD2	ENSG00000140955.11	adenosine deaminase domain containing 2	HGNC:30714
ADAL	ENSG00000168803.16	adenosine deaminase like	HGNC:31853
ADAM10	ENSG00000137845.15	ADAM metallopeptidase domain 10	HGNC:188
ADAM11	ENSG00000073670.14	ADAM metallopeptidase domain 11	HGNC:189
ADAM12	ENSG00000148848.15	ADAM metallopeptidase domain 12	HGNC:190
ADAM15	ENSG00000143537.14	ADAM metallopeptidase domain 15	HGNC:193
ADAM17	ENSG00000151694.14	ADAM metallopeptidase domain 17	HGNC:195
ADAM18	ENSG00000168619.16	ADAM metallopeptidase domain 18	HGNC:196
ADAM19	ENSG00000135074.16	ADAM metallopeptidase domain 19	HGNC:197
ADAM2	ENSG00000104755.16	ADAM metallopeptidase domain 2	HGNC:198
ADAM20	ENSG00000134007.5	ADAM metallopeptidase domain 20	HGNC:199
ADAM21	ENSG00000139985.8	ADAM metallopeptidase domain 21	HGNC:200
ADAM22	ENSG00000008277.15	ADAM metallopeptidase domain 22	HGNC:201
ADAM23	ENSG00000114948.13	ADAM metallopeptidase domain 23	HGNC:202
ADAM28	ENSG00000042980.13	ADAM metallopeptidase domain 28	HGNC:206
ADAM29	ENSG00000168594.15	ADAM metallopeptidase domain 29	HGNC:207
ADAM30	ENSG00000134249.7	ADAM metallopeptidase domain 30	HGNC:208
ADAM32	ENSG00000197140.15	ADAM metallopeptidase domain 32	HGNC:15479
ADAM33	ENSG00000149451.19	ADAM metallopeptidase domain 33	HGNC:15478
ADAM7	ENSG00000069206.15	ADAM metallopeptidase domain 7	HGNC:214
ADAM8	ENSG00000151651.16	ADAM metallopeptidase domain 8	HGNC:215
ADAM9	ENSG00000168615.13	ADAM metallopeptidase domain 9	HGNC:216
ADAMDEC1	ENSG00000134028.14	ADAM like decysin 1	HGNC:16299
ADAMTS1	ENSG00000154734.16	ADAM metallopeptidase with thrombospondin type 1 motif 1	HGNC:217
ADAMTS10	ENSG00000142303.14	ADAM metallopeptidase with thrombospondin type 1 motif 10	HGNC:13201
ADAMTS12	ENSG00000151388.11	ADAM metallopeptidase with thrombospondin type 1 motif 12	HGNC:14605
ADAMTS13	ENSG00000160323.19	ADAM metallopeptidase with thrombospondin type 1 motif 13	HGNC:1366
ADAMTS14	ENSG00000138316.11	ADAM metallopeptidase with thrombospondin type 1 motif 14	HGNC:14899
ADAMTS15	ENSG00000166106.4	ADAM metallopeptidase with thrombospondin type 1 motif 15	HGNC:16305
ADAMTS16	ENSG00000145536.15	ADAM metallopeptidase with thrombospondin type 1 motif 16	HGNC:17108
ADAMTS17	ENSG00000140470.15	ADAM metallopeptidase with thrombospondin type 1 motif 17	HGNC:17109
ADAMTS18	ENSG00000140873.16	ADAM metallopeptidase with thrombospondin type 1 motif 18	HGNC:17110
ADAMTS19	ENSG00000145808.10	ADAM metallopeptidase with thrombospondin type 1 motif 19	HGNC:17111
ADAMTS2	ENSG00000087116.16	ADAM metallopeptidase with thrombospondin type 1 motif 2	HGNC:218
ADAMTS20	ENSG00000173157.18	ADAM metallopeptidase with thrombospondin type 1 motif 20	HGNC:17178
ADAMTS3	ENSG00000156140.10	ADAM metallopeptidase with thrombospondin type 1 motif 3	HGNC:219
ADAMTS4	ENSG00000158859.10	ADAM metallopeptidase with thrombospondin type 1 motif 4	HGNC:220
ADAMTS5	ENSG00000154736.6	ADAM metallopeptidase with thrombospondin type 1 motif 5	HGNC:221
ADAMTS6	ENSG00000049192.15	ADAM metallopeptidase with thrombospondin type 1 motif 6	HGNC:222
ADAMTS7	ENSG00000136378.15	ADAM metallopeptidase with thrombospondin type 1 motif 7	HGNC:223
ADAMTS8	ENSG00000134917.10	ADAM metallopeptidase with thrombospondin type 1 motif 8	HGNC:224
ADAMTS9	ENSG00000163638.13	ADAM metallopeptidase with thrombospondin type 1 motif 9	HGNC:13202
ADAMTSL1	ENSG00000178031.18	ADAMTS like 1	HGNC:14632
ADAMTSL2	ENSG00000197859.11	ADAMTS like 2	HGNC:14631
ADAMTSL3	ENSG00000156218.13	ADAMTS like 3	HGNC:14633
ADAMTSL4	ENSG00000143382.16	ADAMTS like 4	HGNC:19706
ADAMTSL5	ENSG00000185761.11	ADAMTS like 5	HGNC:27912
ADAP1	ENSG00000105963.15	ArfGAP with dual PH domains 1	HGNC:16486
ADAP2	ENSG00000184060.11	ArfGAP with dual PH domains 2	HGNC:16487
ADAR	ENSG00000160710.18	adenosine deaminase RNA specific	HGNC:225
ADARB1	ENSG00000197381.17	adenosine deaminase RNA specific B1	HGNC:226
ADARB2	ENSG00000185736.16	adenosine deaminase RNA specific B2 (inactive)	HGNC:227
ADAT1	ENSG00000065457.11	adenosine deaminase tRNA specific 1	HGNC:228
ADAT2	ENSG00000189007.16	adenosine deaminase tRNA specific 2	HGNC:21172
ADAT3	ENSG00000213638.6	adenosine deaminase tRNA specific 3	HGNC:25151
ADCK1	ENSG00000063761.16	aarF domain containing kinase 1	HGNC:19038
ADCK2	ENSG00000133597.11	aarF domain containing kinase 2	HGNC:19039
ADCK5	ENSG00000173137.12	aarF domain containing kinase 5	HGNC:21738
ADCY1	ENSG00000164742.16	adenylate cyclase 1	HGNC:232
ADCY10	ENSG00000143199.18	adenylate cyclase 10	HGNC:21285
ADCY2	ENSG00000078295.17	adenylate cyclase 2	HGNC:233
ADCY3	ENSG00000138031.15	adenylate cyclase 3	HGNC:234
ADCY4	ENSG00000129467.14	adenylate cyclase 4	HGNC:235
ADCY5	ENSG00000173175.15	adenylate cyclase 5	HGNC:236
ADCY6	ENSG00000174233.12	adenylate cyclase 6	HGNC:237
ADCY7	ENSG00000121281.13	adenylate cyclase 7	HGNC:238
ADCY8	ENSG00000155897.10	adenylate cyclase 8	HGNC:239
ADCY9	ENSG00000162104.10	adenylate cyclase 9	HGNC:240
ADCYAP1	ENSG00000141433.13	adenylate cyclase activating polypeptide 1	HGNC:241
ADCYAP1R1	ENSG00000078549.15	ADCYAP receptor type I	HGNC:242
ADD1	ENSG00000087274.19	adducin 1	HGNC:243
ADD2	ENSG00000075340.23	adducin 2	HGNC:244
ADD3	ENSG00000148700.15	adducin 3	HGNC:245
ADGB	ENSG00000118492.18	androglobin	HGNC:21212
ADGRA1	ENSG00000197177.16	adhesion G protein-coupled receptor A1	HGNC:13838
ADGRA2	ENSG00000020181.18	adhesion G protein-coupled receptor A2	HGNC:17849
ADGRA3	ENSG00000152990.14	adhesion G protein-coupled receptor A3	HGNC:13839
ADGRB1	ENSG00000181790.12	adhesion G protein-coupled receptor B1	HGNC:943
ADGRB2	ENSG00000121753.13	adhesion G protein-coupled receptor B2	HGNC:944
ADGRB3	ENSG00000135298.15	adhesion G protein-coupled receptor B3	HGNC:945
ADGRD1	ENSG00000111452.13	adhesion G protein-coupled receptor D1	HGNC:19893
ADGRD2	ENSG00000180264.11	adhesion G protein-coupled receptor D2	HGNC:18651
ADGRE1	ENSG00000174837.15	adhesion G protein-coupled receptor E1	HGNC:3336
ADGRE2	ENSG00000127507.18	adhesion G protein-coupled receptor E2	HGNC:3337
ADGRE3	ENSG00000131355.15	adhesion G protein-coupled receptor E3	HGNC:23647
ADGRE5	ENSG00000123146.20	adhesion G protein-coupled receptor E5	HGNC:1711
ADGRF1	ENSG00000153292.16	adhesion G protein-coupled receptor F1	HGNC:18990
ADGRF3	ENSG00000173567.16	adhesion G protein-coupled receptor F3	HGNC:18989
ADGRF4	ENSG00000153294.12	adhesion G protein-coupled receptor F4	HGNC:19011
ADGRF5	ENSG00000069122.19	adhesion G protein-coupled receptor F5	HGNC:19030
ADGRG1	ENSG00000205336.14	adhesion G protein-coupled receptor G1	HGNC:4512
ADGRG2	ENSG00000173698.18	adhesion G protein-coupled receptor G2	HGNC:4516
ADGRG3	ENSG00000182885.17	adhesion G protein-coupled receptor G3	HGNC:13728
ADGRG4	ENSG00000156920.11	adhesion G protein-coupled receptor G4	HGNC:18992
