row	symbol	prevSymbols	synonyms	name	refSeqName	hgnc_id
58	MIR222	MIRN222	HSA-MIR-222	microRNA 222	MIR222	HGNC:31602
59	JAK1	JAK1B	JAK1A,JTK3	Janus kinase 1	JAK1	HGNC:6190
60	HBP1	NA	NA	HMG-box transcription factor 1	HBP1	HGNC:23200
61	HHEX	PRHX	HEX,HOX11L-PEN	hematopoietically expressed homeobox	HHEX	HGNC:4901
62	CDKN2D	NA	INK4D,P19	cyclin dependent kinase inhibitor 2D	CDKN2D	HGNC:1790
63	SPP1	BNSP,OPN	BSPI,ETA-1	secreted phosphoprotein 1	SPP1	HGNC:11255
64	SIRT1	NA	SIR2L1	sirtuin 1	SIRT1	HGNC:14929
65	MPL	NA	CD110,TPOR	MPL proto-oncogene, thrombopoietin receptor	MPL	HGNC:7217
66	RARA	NA	RAR,NR1B1	retinoic acid receptor alpha	RARA	HGNC:9864
67	CDK2AP1	NA	DORC1,DOC-1,DOC1,ST19,P12DOC-1	cyclin dependent kinase 2 associated protein 1	CDK2AP1	HGNC:14002
68	NAA10	ARD1,ARD1A	DXS707,TE2	N(alpha)-acetyltransferase 10, NatA catalytic subunit	NAA10	HGNC:18704
69	ZNF281	NA	ZBP-99	zinc finger protein 281	ZNF281	HGNC:13075
70	BCR	D22S11,BCR1	D22S662,CML,PHL,ALL	BCR, RhoGEF and GTPase activating protein	BCR	HGNC:1014
71	TYRO3	RSE	DTK,BRT,TIF,SKY,ETK-2,REK	TYRO3 protein tyrosine kinase	TYRO3	HGNC:12446
72	UBL3	PNSC1	HCG-1,DKFZP434K151,FLJ32018	ubiquitin like 3	UBL3	HGNC:12504
73	ELOVL5	SCA38	HELO1,DJ483K16.1	ELOVL fatty acid elongase 5	ELOVL5	HGNC:21308
74	GPER1	CMKRL2,GPR30,GPER	FEG-1,GPCR-BR,LERGU,LERGU2,DRY12,LYGPR,CEPR	G protein-coupled estrogen receptor 1	GPER1	HGNC:4485
75	FNBP4	NA	KIAA1014	formin binding protein 4	FNBP4	HGNC:19752
76	EXOC4	SEC8L1	KIAA1699,MGC27170,SEC8,SEC8P	exocyst complex component 4	EXOC4	HGNC:30389
77	PDE11A	NA	NA	phosphodiesterase 11A	PDE11A	HGNC:8773
78	TSC1	TSC	KIAA0243,LAM,HAMARTIN	TSC complex subunit 1	TSC1	HGNC:12362
79	ANP32B	NA	SSP29,PHAPI2,APRIL	acidic nuclear phosphoprotein 32 family member B	ANP32B	HGNC:16677
80	FOXM1	FKHL16	HFH-11,TRIDENT,HNF-3,INS-1,MPP2,MPHOSPH2,TGT3	forkhead box M1	FOXM1	HGNC:3818
81	PPFIBP1	NA	L2,HSGT2,HSGT2P,SGT2	PPFIA binding protein 1	PPFIBP1	HGNC:9249
82	CBL	CBL2	RNF55,C-CBL	Cbl proto-oncogene	CBL	HGNC:1541
83	HGF	DFNB39	SF,F-TCF,HGFB,HPTA	hepatocyte growth factor	HGF	HGNC:4893
84	ZNF423	NA	KIAA0760,OAZ,HOAZ,EBFAZ,ZFP104,NPHP14,JBTS19	zinc finger protein 423	ZNF423	HGNC:16762
85	PLCB1	NA	KIAA0581,PLC-I,PLC154	phospholipase C beta 1	PLCB1	HGNC:15917
86	ABL2	ABLL	ARG	ABL proto-oncogene 2, non-receptor tyrosine kinase	ABL2	HGNC:77
87	MEIS1	NA	NA	Meis homeobox 1	MEIS1	HGNC:7000
88	KIZ	NCRNA00153,C20ORF19,PLK1S1	HT013	kizuna centrosomal protein	KIZ	HGNC:15865
89	BCL2A1	HBPA1	GRS,BFL1,BCL2L5,ACC-1,ACC-2,ACC2,ACC1	BCL2 related protein A1	BCL2A1	HGNC:991
90	CIITA	MHC2TA	C2TA,NLRA	class II major histocompatibility complex transactivator	CIITA	HGNC:7067
91	DEK	NA	D6S231E	DEK proto-oncogene	DEK	HGNC:2768
92	OTOF	DFNB9	FER1L2,DFNB6	otoferlin	OTOF	HGNC:8515
93	SH2B2	NA	APS	SH2B adaptor protein 2	SH2B2	HGNC:17381
94	SLC45A3	PCANAP6,PCANAP2,PCANAP8	IPCA-6,PROSTEIN,IPCA-2,IPCA-8	solute carrier family 45 member 3	SLC45A3	HGNC:8642
95	MACF1	NA	KIAA0465,ACF7,ABP620,KIAA1251,MACF,FLJ45612,FLJ46776	microtubule-actin crosslinking factor 1	MACF1	HGNC:13664
96	ID4	NA	BHLHB27	inhibitor of DNA binding 4, HLH protein	ID4	HGNC:5363
97	GPC5	NA	NA	glypican 5	GPC5	HGNC:4453
98	IRAK2	NA	NA	interleukin 1 receptor associated kinase 2	IRAK2	HGNC:6113
99	NUTM2B	FAM22B	BA119F19.1	NUT family member 2B	NUTM2B	HGNC:23445
100	RNF220	C1ORF164	FLJ10597	ring finger protein 220	RNF220	HGNC:25552
101	PRDM1	BLIMP1	PRDI-BF1	PR/SET domain 1	PRDM1	HGNC:9346
102	TNC	HXB,DFNA56	TN,MGC167029	tenascin C	TNC	HGNC:5318
103	TFF2	SML1	NA	trefoil factor 2	TFF2	HGNC:11756
104	DDX43	NA	HAGE,DKFZP434H2114,CT13	DEAD-box helicase 43	DDX43	HGNC:18677
105	REG3A	PAP	HIP,REG-III,REG3,PBCGF,PAP1	regenerating family member 3 alpha	REG3A	HGNC:8601
106	SMAD2	MADH2	MADR2,JV18-1	SMAD family member 2	SMAD2	HGNC:6768
107	SOX11	NA	NA	SRY-box 11	SOX11	HGNC:11191
108	PTHLH	NA	PTHRP,HHM,PLP,PTHR	parathyroid hormone like hormone	PTHLH	HGNC:9607
109	IGFBP6	NA	NA	insulin like growth factor binding protein 6	IGFBP6	HGNC:5475
110	NAV1	NA	FLJ12560,FLJ14203,KIAA1151,MGC14961,POMFIL3,STEERIN-1,DKFZP781D0314	neuron navigator 1	NAV1	HGNC:15989
111	PICK1	PRKCABP	DJ1039K5,MGC15204	protein interacting with PRKCA 1	PICK1	HGNC:9394
112	ABCB5	NA	EST422562,ABCB5BETA,ABCB5ALPHA	ATP binding cassette subfamily B member 5	ABCB5	HGNC:46
113	ATF7IP	NA	FLJ10688,P621	activating transcription factor 7 interacting protein	ATF7IP	HGNC:20092
114	IER2	NA	ETR101	immediate early response 2	IER2	HGNC:28871
115	HLTF	SNF2L3,SMARCA3	HIP116A,HLTF1,RNF80	helicase like transcription factor	HLTF	HGNC:11099
116	TGFB1	TGFB,DPD1	CED,TGFBETA	transforming growth factor beta 1	TGFB1	HGNC:11766
117	CD44	MIC4,MDU2,MDU3	IN,MC56,PGP1,CD44R,HCELL,CSPG8	CD44 molecule (Indian blood group)	CD44	HGNC:1681
118	TMSB10	NA	TB10	thymosin beta 10	TMSB10	HGNC:11879
119	CBLC	NA	CBL-3,CBL-SL,RNF57	Cbl proto-oncogene C	CBLC	HGNC:15961
120	FAM57A	NA	FLJ22282,CT120	family with sequence similarity 57 member A	FAM57A	HGNC:29646
121	EGFR	ERBB	ERBB1	epidermal growth factor receptor	EGFR	HGNC:3236
122	MIR21	MIRN21	HSA-MIR-21,MIR-21	microRNA 21	MIR21	HGNC:31586
123	BCL11B	ZNF856B	CTIP-2,CTIP2,HRIT1-ALPHA	B cell CLL/lymphoma 11B	BCL11B	HGNC:13222
124	SERPINB1	ELANH2	EI,PI2,ANTI-ELASTASE	serpin family B member 1	SERPINB1	HGNC:3311
125	PVT1	NA	NCRNA00079,LINC00079,ONCO-LNCRNA-100,MIR1204HG	Pvt1 oncogene (non-protein coding)	PVT1	HGNC:9709
126	MAF	NA	C-MAF	MAF bZIP transcription factor	MAF	HGNC:6776
127	DDX6	HLR2	RCK	DEAD-box helicase 6	DDX6	HGNC:2747
128	TRPM1	MLSN1	LTRPC1,CSNB1C	transient receptor potential cation channel subfamily M member 1	TRPM1	HGNC:7146
129	CSNK2A1	NA	CKA1,CKA2	casein kinase 2 alpha 1	CSNK2A1	HGNC:2457
130	CMC4	MTCP1,MTCP1NB	P8MTCP1,P8	C-X9-C motif containing 4	CMC4	HGNC:35428
131	AKAP13	LBC	HT31,BRX,AKAP-LBC,C-LBC,PROTO-LB,HA-3,ARHGEF13	A-kinase anchoring protein 13	AKAP13	HGNC:371
132	ICAM1	NA	BB2,CD54	intercellular adhesion molecule 1	ICAM1	HGNC:5344
133	TOPORS	RP31	TP53BPL,LUN	TOP1 binding arginine/serine rich protein	TOPORS	HGNC:21653
134	MAPK1	PRKM2,PRKM1	ERK,ERK2,P41MAPK,MAPK2	mitogen-activated protein kinase 1	MAPK1	HGNC:6871
135	SHC1	SHC	P66,SHCA	SHC adaptor protein 1	SHC1	HGNC:10840
136	LIFR	NA	CD118	LIF receptor alpha	LIFR	HGNC:6597
137	MIR221	MIRN221	HSA-MIR-221	microRNA 221	MIR221	HGNC:31601
138	CSF3R	CD114	GCSFR	colony stimulating factor 3 receptor	CSF3R	HGNC:2439
139	UNC79	KIAA1409	NA	unc-79 homolog, NALCN channel complex subunit	UNC79	HGNC:19966
140	SKP1P2	SKP1B	P19B	S-phase kinase associated protein 1 pseudogene 2	SKP1P2	HGNC:10900
141	RBBP5	NA	RBQ3,SWD1	RB binding protein 5, histone lysine methyltransferase complex subunit	RBBP5	HGNC:9888
142	PPP1R13L	NA	RAI,IASPP	protein phosphatase 1 regulatory subunit 13 like	PPP1R13L	HGNC:18838
143	NRAS	NA	N-RAS	NRAS proto-oncogene, GTPase	NRAS	HGNC:7989
144	PPP1R16B	NA	KIAA0823,TIMAP,ANKRD4	protein phosphatase 1 regulatory subunit 16B	PPP1R16B	HGNC:15850
145	FCRL4	NA	FCRH4,IRTA1,IGFP2,CD307D	Fc receptor like 4	FCRL4	HGNC:18507
146	SKI	NA	NA	SKI proto-oncogene	SKI	HGNC:10896
147	WDR11	BRWD2	KIAA1351,FLJ10506,WDR15,HH14,DR11,SRI1	WD repeat domain 11	WDR11	HGNC:13831
148	AGAP2	CENTG1	NA	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2	AGAP2	HGNC:16921
149	TNFRSF13B	NA	TACI,CD267,IGAD2	TNF receptor superfamily member 13B	TNFRSF13B	HGNC:18153
150	MEG3	NA	GTL2,NCRNA00023,LINC00023,ONCO-LNCRNA-83	maternally expressed 3 (non-protein coding)	MEG3	HGNC:14575
151	SOX10	NA	DOM,WS4,WS2E	SRY-box 10	SOX10	HGNC:11190
152	MYBL1	NA	AMYB,A-MYB	MYB proto-oncogene like 1	MYBL1	HGNC:7547
153	SRSF6	SFRS6	SRP55,B52	serine and arginine rich splicing factor 6	SRSF6	HGNC:10788
154	MLLT11	NA	AF1Q	MLLT11, transcription factor 7 cofactor	MLLT11	HGNC:16997
155	DIRAS3	ARHI	NOEY2	DIRAS family GTPase 3	DIRAS3	HGNC:687
156	CHD2	NA	FLJ38614,DKFZP547I1315,DKFZP781D1727,DKFZP686E01200	chromodomain helicase DNA binding protein 2	CHD2	HGNC:1917
157	FOXE1	FKHL15,TITF2,FOXE2	TTF-2,HFKH4	forkhead box E1	FOXE1	HGNC:3806
158	ABCB8	NA	EST328128,M-ABC1,MABC1	ATP binding cassette subfamily B member 8	ABCB8	HGNC:49
159	BCRP2	BCR2,BCRL2	BCR-2	breakpoint cluster region pseudogene 2	BCRP2	HGNC:1015
160	CIC	NA	KIAA0306	capicua transcriptional repressor	CIC	HGNC:14214
161	BID	NA	NA	BH3 interacting domain death agonist	BID	HGNC:1050
162	MAPK14	CSPB1,CSBP1,CSBP2	PRKM14,P38,MXI2,PRKM15	mitogen-activated protein kinase 14	MAPK14	HGNC:6876
163	FRMD8	NA	FLJ90369,FKSG44	FERM domain containing 8	FRMD8	HGNC:25462
164	TNFSF10	NA	TRAIL,APO-2L,TL2,CD253	TNF superfamily member 10	TNFSF10	HGNC:11925
165	BCL10	NA	CARMEN,CIPER,ME10,C-E10,CLAP	B cell CLL/lymphoma 10	BCL10	HGNC:989
166	DRAM1	NA	FLJ11259,DRAM	DNA damage regulated autophagy modulator 1	DRAM1	HGNC:25645
167	PCNA	NA	NA	proliferating cell nuclear antigen	PCNA	HGNC:8729
168	TRIP11	NA	CEV14,TRIP230,GMAP-210,GMAP210	thyroid hormone receptor interactor 11	TRIP11	HGNC:12305
169	NFKBIA	NFKBI	IKBA,MAD-3,IKAPPABALPHA	NFKB inhibitor alpha	NFKBIA	HGNC:7797
170	TOB2	TROB2	TOBL,TOB4,BK223H9,APRO5	transducer of ERBB2, 2	TOB2	HGNC:11980
171	PTMA	TMSA	NA	prothymosin alpha	PTMA	HGNC:9623
172	SPPL2B	NA	IMP4,PSL1,KIAA1532	signal peptide peptidase like 2B	SPPL2B	HGNC:30627
173	CRLF2	NA	CRL2,TSLPR	cytokine receptor like factor 2	CRLF2	HGNC:14281
174	TRAF1	NA	EBI6	TNF receptor associated factor 1	TRAF1	HGNC:12031
175	CRK	NA	NA	CRK proto-oncogene, adaptor protein	CRK	HGNC:2362
176	CCR7	CMKBR7,EBI1	BLR2,CDW197,CD197	C-C motif chemokine receptor 7	CCR7	HGNC:1608
177	ADAM9	CORD9	MDC9,KIAA0021,MCMP,MLTNG	ADAM metallopeptidase domain 9	ADAM9	HGNC:216
178	ID3	NA	HEIR-1,BHLHB25	inhibitor of DNA binding 3, HLH protein	ID3	HGNC:5362
179	DYRK1A	DYRK1,DYRK,MNBH	NA	dual specificity tyrosine phosphorylation regulated kinase 1A	DYRK1A	HGNC:3091
180	PDCD6	NA	ALG-2,PEF1B	programmed cell death 6	PDCD6	HGNC:8765
181	CTNNA1	NA	CAP102	catenin alpha 1	CTNNA1	HGNC:2509
182	POLH	NA	RAD30A,XP-V	DNA polymerase eta	POLH	HGNC:9181
183	ERICH1	NA	NA	glutamate rich 1	ERICH1	HGNC:27234
184	KCNK5	NA	K2P5.1,TASK-2	potassium two pore domain channel subfamily K member 5	KCNK5	HGNC:6280
185	SKP1	SKP1A	EMC19,OCP2,TCEB1L,MGC34403,OCP-II,P19A	S-phase kinase associated protein 1	SKP1	HGNC:10899
186	CFLAR	CASP8AP1	CASH,CASPER,CLARP,FLAME,FLIP,I-FLICE,MRIT,C-FLIP	CASP8 and FADD like apoptosis regulator	CFLAR	HGNC:1876
187	IGK	IGK@	NA	immunoglobulin kappa locus	NA	HGNC:5715
188	FGFR1OP	NA	FOP	FGFR1 oncogene partner	FGFR1OP	HGNC:17012
189	ETV6	NA	TEL	ETS variant 6	ETV6	HGNC:3495
190	MLLT6	NA	AF17,FLJ23480	MLLT6, PHD finger containing	MLLT6	HGNC:7138
191	RPA2	NA	NA	replication protein A2	RPA2	HGNC:10290
192	MST1	D3F15S2,HGFL,DNF15S2	MSP,NF15S2	macrophage stimulating 1	MST1	HGNC:7380
193	CBFB	NA	PEBP2B	core-binding factor subunit beta	CBFB	HGNC:1539
194	NMT1	NA	NMT	N-myristoyltransferase 1	NMT1	HGNC:7857
195	THRAP3	NA	TRAP150,BCLAF2	thyroid hormone receptor associated protein 3	THRAP3	HGNC:22964
196	MYH1	NA	MYHSA1,MYHA,MYHC-2X/D,MGC133384	myosin heavy chain 1	MYH1	HGNC:7567
197	STEAP1	STEAP	PRSS24	STEAP family member 1	STEAP1	HGNC:11378
198	PDE4A	DPDE2	NA	phosphodiesterase 4A	PDE4A	HGNC:8780
199	HPSE	NA	HPA,HSE1,HPSE1	heparanase	HPSE	HGNC:5164
200	XDH	NA	XOR,XO	xanthine dehydrogenase	XDH	HGNC:12805
201	HSPG2	SJS1	PERLECAN,PRCAN	heparan sulfate proteoglycan 2	HSPG2	HGNC:5273
202	ERCC3	NA	XPB,BTF2,RAD25,TFIIH,GTF2H	ERCC excision repair 3, TFIIH core complex helicase subunit	ERCC3	HGNC:3435
203	TRAP1	NA	HSP75,HSP90L	TNF receptor associated protein 1	TRAP1	HGNC:16264
204	PPP1CA	PPP1A	PP1A,PP-1A,PP1ALPHA	protein phosphatase 1 catalytic subunit alpha	PPP1CA	HGNC:9281
205	PATZ1	ZNF278	MAZR,DJ400N23,ZBTB19,ZSG,RIAZ,PATZ	POZ/BTB and AT hook containing zinc finger 1	PATZ1	HGNC:13071
206	OPCML	NA	OPCM,OBCAM,IGLON1	opioid binding protein/cell adhesion molecule like	OPCML	HGNC:8143
207	CDH20	NA	CDH7L3,CDH7	cadherin 20	CDH20	HGNC:1760
208	NEIL1	NA	FLJ22402,HFPG1,NEI1,FPG1	nei like DNA glycosylase 1	NEIL1	HGNC:18448
209	FGF12	FGF12B	FHF1	fibroblast growth factor 12	FGF12	HGNC:3668
210	GHRL	NA	MTLRP,GHRELIN,OBESTATIN	ghrelin and obestatin prepropeptide	GHRL	HGNC:18129
211	PSEN2	AD4	AD3L,STM2,PS2	presenilin 2	PSEN2	HGNC:9509
212	ZNF608	NA	KIAA1281,DKFZP434M098,NY-REN-36	zinc finger protein 608	ZNF608	HGNC:29238
213	BFSP2	NA	CP47,CP49,LIFL-L,PHAKININ	beaded filament structural protein 2	BFSP2	HGNC:1041
214	DDB2	NA	DDBB,UV-DDB2,FLJ34321,XPE	damage specific DNA binding protein 2	DDB2	HGNC:2718
215	NET1	NA	ARHGEF8,NET1A	neuroepithelial cell transforming 1	NET1	HGNC:14592
216	IFNGR2	IFNGT1	AF-1	interferon gamma receptor 2	IFNGR2	HGNC:5440
217	ERC2	NA	CAST,CAST1,KIAA0378,SPBC110,SPC110,ELKSL	ELKS/RAB6-interacting/CAST family member 2	ERC2	HGNC:31922
218	COL4A3	NA	NA	collagen type IV alpha 3 chain	COL4A3	HGNC:2204
219	GSDMA	GSDM,GSDM1	FLJ39120	gasdermin A	GSDMA	HGNC:13311
220	GHR	NA	GHBP	growth hormone receptor	GHR	HGNC:4263
221	ETS1	EWSR2	FLJ10768,ETS-1	ETS proto-oncogene 1, transcription factor	ETS1	HGNC:3488
222	ALOX12	NA	12S-LOX	arachidonate 12-lipoxygenase, 12S type	ALOX12	HGNC:429
223	NFATC1	NA	NF-ATC,NFATC,NFAT2	nuclear factor of activated T cells 1	NFATC1	HGNC:7775
224	IL9	NA	IL-9,HP40,P40	interleukin 9	IL9	HGNC:6029
225	CSE1L	NA	CAS,XPO2,CSE1	chromosome segregation 1 like	CSE1L	HGNC:2431
226	PTPRK	NA	R-PTP-KAPPA	protein tyrosine phosphatase, receptor type K	PTPRK	HGNC:9674
227	EPHA1	EPHT,EPHT1	EPH	EPH receptor A1	EPHA1	HGNC:3385
228	FIP1L1	NA	DKFZP586K0717,FIP1	factor interacting with PAPOLA and CPSF1	FIP1L1	HGNC:19124
229	EYA4	DFNA10,CMD1J	NA	EYA transcriptional coactivator and phosphatase 4	EYA4	HGNC:3522
230	TM4SF1	M3S1	L6	transmembrane 4 L six family member 1	TM4SF1	HGNC:11853
231	HSPH1	NA	HSP105B,KIAA0201,HSP105A,NY-CO-25	heat shock protein family H (Hsp110) member 1	HSPH1	HGNC:16969
232	UBE2C	NA	UBCH10	ubiquitin conjugating enzyme E2 C	UBE2C	HGNC:15937
233	HNRNPA3	HNRPA3	NA	heterogeneous nuclear ribonucleoprotein A3	HNRNPA3	HGNC:24941
234	TSHR	NA	LGR3	thyroid stimulating hormone receptor	TSHR	HGNC:12373
235	TJP2	DFNA51	ZO-2,X104,ZO2	tight junction protein 2	TJP2	HGNC:11828
236	ACTB	NA	NA	actin beta	ACTB	HGNC:132
237	IGF2	C11ORF43	FLJ44734,IGF-II	insulin like growth factor 2	IGF2	HGNC:5466
238	PGGHG	ATHL1	FLJ22635	protein-glucosylgalactosylhydroxylysine glucosidase	ATHL1	HGNC:26210
239	CMTM7	CKLFSF7	FLJ30992	CKLF like MARVEL transmembrane domain containing 7	CMTM7	HGNC:19178
240	FAS	FAS1,APT1,TNFRSF6	CD95,APO-1	Fas cell surface death receptor	FAS	HGNC:11920
241	CHRNB4	NA	NA	cholinergic receptor nicotinic beta 4 subunit	CHRNB4	HGNC:1964
242	BCL7B	NA	NA	BCL tumor suppressor 7B	BCL7B	HGNC:1005
243	P2RY14	GPR105	KIAA0001	purinergic receptor P2Y14	P2RY14	HGNC:16442
244	NR4A3	NA	CSMF,CHN,NOR1,MINOR	nuclear receptor subfamily 4 group A member 3	NR4A3	HGNC:7982
245	KNL1	MCPH4,CASC5	D40,AF15Q14,CT29,KIAA1570,HKNL-1,HSPC105,PPP1R55,SPC7	kinetochore scaffold 1	CASC5	HGNC:24054
246	TNF	TNFA	TNFSF2,DIF,TNF-ALPHA	tumor necrosis factor	TNF	HGNC:11892
247	ABL1	ABL	JTK7,C-ABL,P150	ABL proto-oncogene 1, non-receptor tyrosine kinase	ABL1	HGNC:76
248	TBX21	NA	TBLYM,T-BET	T-box 21	TBX21	HGNC:11599
249	ELAVL1	HUR	HUR,HUA,MELG	ELAV like RNA binding protein 1	ELAVL1	HGNC:3312
250	MVP	NA	LRP,VAULT1	major vault protein	MVP	HGNC:7531
251	PHOX2B	PMX2B	PHOX2B,NBPHOX	paired like homeobox 2b	PHOX2B	HGNC:9143
252	RSPO1	NA	FLJ40906,RSPONDIN	R-spondin 1	RSPO1	HGNC:21679
253	ADARB2	NA	RED2,HRED2,ADAR3	adenosine deaminase, RNA specific B2 (inactive)	ADARB2	HGNC:227
254	ACCS	NA	PHACS,ACS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	ACCS	HGNC:23989
255	ZDHHC14	NA	FLJ20984,NEW1CP	zinc finger DHHC-type containing 14	ZDHHC14	HGNC:20341
256	CYP7B1	SPG5A	NA	cytochrome P450 family 7 subfamily B member 1	CYP7B1	HGNC:2652
257	HOXB8	HOX2,HOX2D	NA	homeobox B8	HOXB8	HGNC:5119
258	FHL2	NA	SLIM3,DRAL	four and a half LIM domains 2	FHL2	HGNC:3703
